Main Author ID,Author Name,H-Index,I-Index,Two-Year Mean Citedness,Institution,Country Code,Publication Year,Co-Author ID,Co-Author Display Name,Co-Author Counts,Sum Max Cited By Percentile Year,Avg Max Cited By Percentile Year
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5084900396,Luis Moröder,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5029456150,Christina Wolschner,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5056396456,Birgit Wiltschi,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5010542554,Nediljko Budiša,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5065468362,Carlos G. Acevedo‐Rocha,1,95.7,95.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5010745506,Sebastian Nehring,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5026409952,Michael Georg Hoesl,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2011,A5073399193,Nediljko Budiša,1,90.4,90.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2011,A5010745506,Michael Georg Hoesl,3,261.5,87.16666667
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5046615852,Jens Dernedde,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5006324722,Christian P. R. Hackenberger,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5028943397,Lars Merkel,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5029456150,Nina Bohlke,1,97,97
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5054618761,Birgit Wiltschi,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5028345358,Christoph Weise,2,192.8,96.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5081694672,Nediljko Budiša,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5010745506,Figen Beceren‐Braun,1,98.7,98.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5026409952,Lukas M. Artner,1,97,97
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2012,A5005948778,Sebastian Nehring,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2013,A5028345358,Nediljko Budiša,1,70.9,70.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2014,A5090420820,Martino L. di Salvo,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2014,A5075305488,Nina Bohlke,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2014,A5012233067,Ying Ma,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2014,A5015890126,Nediljko Budiša,1,97.3,97.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2014,A5005948778,Roberto Contestabile,1,96.7,96.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5040732268,Hans‐Rudolf Aerni,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5010745506,David R. F. Leach,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5029216356,M. Sc. Stefan Oehm,1,77.9,77.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5076844877,Jesse Rinehart,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5020569558,Nediljko Budiša,1,72.1,72.1
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5027703827,Lauri Peil,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5067568281,Patrick Durkin,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5028953694,Juri Rappsilber,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5063450287,Michael Georg Hoesl,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5026551402,Elise Darmon,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5050614320,Jelena Jarić,2,170.5,85.25
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2015,A5018759443,Stefan Oehm,1,98.4,98.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5020569558,Zhengbiao Ouyang,1,95.5,95.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5064513163,Christian P. R. Hackenberger,3,259,86.33333333
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5042673216,Tilmann Kuenzl,2,160.6,80.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5075379787,Albrecht Ott,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5026634103,Matthias Exner,1,88.2,88.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5030331271,Marc Schenkelberger,1,95.5,95.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5023116183,Tobias Baumann,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5027398565,Tuyet Mai Thi To,1,95.5,95.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5084900396,Marga C. Lensen,1,97.5,97.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5083430931,Vincent Noireaux,1,88.2,88.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5026549481,Sergej Schwagerus,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5012574373,Carlos G. Acevedo‐Rocha,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5081694672,Anja Kuthning,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5082684065,Michael Georg Hoesl,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5086235336,Stefan Oehm,1,84.3,84.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5042618944,Emanuel G. Worst,1,88.2,88.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5066426380,Alessandro De Simone,1,86.5,86.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5050614320,Roderich D. Süssmuth,1,95.5,95.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5014904841,Nediljko Budiša,1,88.2,88.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2016,A5010745506,Patrick Durkin,3,252.2,84.06666667
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5090549939,Berta M. Martins,1,94.4,94.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5062716316,Andreas Möglich,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5065071153,Jan‐Stefan Völler,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5065221311,Tobias Schneider,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5004228005,Holger Dobbek,1,90.3,90.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5065788847,Markus Schmidt,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5066426380,Matthias Hauf,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5039296724,Vladimir Kubyshkin,1,90.3,90.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5058235831,Thomas Faidt,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5050614320,Nediljko Budiša,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5076586509,Patrick Durkin,1,97.7,97.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5087821813,Karin Jacobs,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5088264372,Pei Lei,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2017,A5012635954,Florian Richter,2,168.9,84.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5090549939,Thomas Friedrich,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5062969823,Ralf Wagner,1,81.2,81.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5084900396,Vivian Jeanette Spiering,1,95.2,95.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5084705250,Almut Pelzer,1,81.2,81.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5020871813,Christian Diwo,1,92.8,92.8
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5066426380,Vladimir Kubyshkin,2,174,87
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5089246624,Nediljko Budiša,1,81.2,81.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5034034305,Franz‐Josef Schmitt,1,92.8,92.8
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5081469116,Georg Johannes Freiherr von Sass,1,92.8,92.8
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5010962396,Carlos G. Acevedo‐Rocha,1,92.8,92.8
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5017781414,Oscar P. Kuipers,1,92.8,92.8
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5074643377,Jessica H Nickling,1,81.2,81.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5066662505,Tobias Baumann,1,81.2,81.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2018,A5043353438,David Peterhoff,1,92.4,92.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5090549939,Andreas Möglich,2,189.3,94.65
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5062716316,Tobias Schneider,1,96.3,96.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5066426380,Matthias Hauf,1,96.6,96.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5058235831,Vladimir Kubyshkin,1,96.6,96.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5071677632,Nediljko Budiša,1,96.6,96.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5087821813,Florian Richter,1,96.6,96.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5031275669,Suki Albers,1,96.6,96.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2019,A5088264372,Tobias Baumann,1,96.6,96.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5075305488,Martino L. di Salvo,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5051173496,Huan Sun,1,91.1,91.1
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5074342461,Ammar Al‐Shameri,1,91.1,91.1
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5001739345,Hamid Reza Karbalaei‐Heidari,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5066426380,Ying Ma,1,91.1,91.1
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5027748479,Nediljko Budiša,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5026272479,Peter Neubauer,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5062659115,Hsueh-Wei Tseng,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5012233067,Federico D’Alessio,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5008100330,Christian J. Schipp,1,92.5,92.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5031275669,Yane‐Shih Wang,1,91.1,91.1
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5074624486,Roberto Contestabile,1,91.1,91.1
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2020,A5015890126,Tobias Baumann,1,93,93
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5051302568,Isabella Tolle,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5069362866,Abdul-Rahman Adamu Bukari,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5020569558,Christin Treiber-Kleinke,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5040732268,Michael Georg Hoesl,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5076844877,Aleeza C. Gerstein,2,161.9,80.95
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5075984566,Nediljko Budiša,1,95.5,95.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5048755170,Juri Rappsilber,2,175.2,87.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5082692810,Torsten Semmler,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5010745506,Nikolaj G. Koch,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5027841112,Peter Goettig,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2021,A5009041694,Lauri Peil,1,66.4,66.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2022,A5066426380,Anna Dziegielewski,1,93.5,93.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2022,A5081469116,Nediljko Budiša,1,93.5,93.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2022,A5048755170,Nikolaj G. Koch,1,93.5,93.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2022,A5006127376,Jessica H Nickling,1,93.5,93.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5051302568,Isabella Tolle,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5069362866,Abdul-Rahman Adamu Bukari,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5040732268,Peter Goettig,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5020569558,Hamid Reza Karbalaei‐Heidari,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5076844877,Aleeza C. Gerstein,3,278.8,92.93333333
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5084970496,Gustavo Fuertes,1,87.5,87.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5031275669,Nediljko Budiša,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5075984566,Kensaku Sakamoto,2,181.9,90.95
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5038152422,Juri Rappsilber,1,87.5,87.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5008100330,Mihaela Bozukova,1,87.5,87.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5024558707,Suki Albers,1,87.5,87.5
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5071677632,Torsten Semmler,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5082692810,Christin Treiber-Kleinke,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5010745506,Michael Georg Hoesl,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5027841112,Lauri Peil,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5041887324,Peter Göttig,1,96.9,96.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5048755170,Stefan Oehm,4,356.9,89.225
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2023,A5009041694,Nikolaj G. Koch,1,96.9,96.9
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2002,A5066008654,David S. King,2,199.7,99.85
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2002,A5036290395,Jason W. Chin,2,199.7,99.85
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2002,A5079218238,Andrew Martin,1,99.9,99.9
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2002,A5052720916,Lei Wang,2,199.7,99.85
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2002,A5015623537,Peter G. Schultz,2,199.7,99.85
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5066008654,Alexander Deiters,3,296.3,98.76666667
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5028438386,Shaoyan Chu,1,99.6,99.6
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5051702467,Jason W. Chin,3,296.3,98.76666667
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5004992316,Zhiwen Zhang,2,199.5,99.75
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5030006041,Janet S. Anderson,2,199.5,99.75
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5080616033,Peter G. Schultz,1,96.8,96.8
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5080487872,T. Ashton Cropp,1,96.8,96.8
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2003,A5006206807,Eric Meggers,1,99.9,99.9
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2006,A5013114112,Thomas J. Magliery,1,66.2,66.2
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2007,A5036617433,Jason W. Chin,1,99.6,99.6
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2007,A5051702467,Heinz Neumann,1,90.5,90.5
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2007,A5069380668,Janet S. Anderson,1,99.6,99.6
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2007,A5077554152,Sew Y. Peak‐Chew,1,99.6,99.6
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2007,A5030006041,T. Ashton Cropp,1,90.5,90.5
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2009,A5028438386,Alexander Deiters,1,99.7,99.7
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2009,A5037720662,Jason W. Chin,1,99.7,99.7
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2009,A5069380668,Duy Nguyen,1,99.7,99.7
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2009,A5018812555,Hrvoje Lusic,1,99.7,99.7
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2009,A5084678598,Heinz Neumann,1,99.7,99.7
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2010,A5028438386,Alexander Deiters,1,99.4,99.4
A5077915220,Jason W. Chin,74,133,8.423076923,MRC Laboratory of Molecular Biology,GB,2010,A5043401587,Jason W. Chin,1,98,98
