Author_id,Author,ORCID,Works Count,Cited By Count,2-Year Mean Citedness,H-Index,i10-Index,Last Known Institution,Research Concepts
A5007973574,Stephen J. Freeland,https://orcid.org/0000-0003-4606-7617,74,2800,4,24,33,"University of Maryland, Baltimore County","Computer science, Biology, Chemistry, Genetics, Biochemistry, Gene, Programming language, Amino acid, Computational biology, DNA, Philosophy, Set (abstract data type), Genetic code, Physics, Mathematics, Linguistics, Artificial intelligence, Evolutionary biology, Operating system, Code (set theory), Medicine"
A5041484612,Andréi S. Rodin,https://orcid.org/0000-0002-2570-0332,71,1386,3.571428571,22,35,City Of Hope National Medical Center,"Biology, Genetics, Chemistry, Biochemistry, Gene, Computer science, Computational biology, Medicine, Artificial intelligence, Machine learning, Mathematics, Internal medicine, DNA, Statistics, Amino acid, Genetic code"
A5006349973,Romeu Cardoso Guimarães,https://orcid.org/0000-0002-6947-9967,70,437,0,12,14,Universidade Federal de Minas Gerais,"Biology, Chemistry, Biochemistry, Genetics, Gene, Physics, Medicine, Computer science, DNA, RNA, Internal medicine, Organic chemistry, Nuclear magnetic resonance, Amino acid, Genetic code, Philosophy, Enzyme, Transfer RNA"
A5058776961,Sávio Torres de Farías,https://orcid.org/0000-0002-2997-3629,69,586,2,15,23,Universidade Federal da Paraíba,"Biology, Chemistry, Genetics, Biochemistry, Gene, Physics, RNA, Geology, Genome, Paleontology, Evolutionary biology, Amino acid, DNA, Computational biology, Bacteria, Transfer RNA, Genetic code, Organic chemistry, Phylogenetic tree, Phylogenetics, Geography, Astrobiology, Abiogenesis, History, Political science"
A5031818643,James C. Lacey,,67,873,0,16,27,University of Alabama at Birmingham,"Biology, Chemistry, Biochemistry, Genetics, Amino acid, Gene, Physics, Organic chemistry, Stereochemistry, Nuclear magnetic resonance, RNA, Transfer RNA, DNA, Enzyme, Genetic code, Nucleotide"
A5047797998,Jiqiang Ling,https://orcid.org/0000-0003-4466-8304,62,2555,2.6,27,39,"University of Maryland, College Park","Biology, Genetics, Biochemistry, Chemistry, Gene, RNA, Transfer RNA, Cell biology, Messenger RNA, Physics, Translation (biology), DNA, Amino acid, Computational biology, Molecular biology, Nuclear magnetic resonance, Organic chemistry, Enzyme, Protein biosynthesis, Genetic code, Medicine, Aminoacyl tRNA synthetase, Ribosome, Escherichia coli, Computer science"
A5077732767,Robersy Sánchez,https://orcid.org/0000-0002-5246-1453,60,576,1.666666667,12,14,Pennsylvania State University,"Biology, Chemistry, Genetics, Biochemistry, Gene, DNA, Mathematics, Computer science, Amino acid, Genetic code, Epigenetics, Computational biology, Physics, Medicine, Gene expression"
A5065913749,Miloje M. Rakočević,,59,161,0,6,4,University of Nis,"Computer science, Biology, Genetics, Biochemistry, Chemistry, Programming language, Set (abstract data type), Amino acid, Gene, Code (set theory), Genetic code, DNA, Mathematics, Physics, Quantum mechanics, Database, Data mining, Philosophy, Geometry, Epistemology, Table (database), Combinatorics, Organic chemistry"
A5071993338,Marc J. Lajoie,https://orcid.org/0000-0002-0477-5511,58,4033,8.7,26,29,University of Washington,"Biology, Genetics, Chemistry, Biochemistry, Gene, Computational biology, Genome, DNA, Computer science, Medicine, Internal medicine, Amino acid, Bioinformatics, Cell biology, Cancer, Immunology, Escherichia coli, Immune system, Genetic code"
A5031316938,Tidjani Négadi,,54,518,0,11,11,Université Oran 1 Ahmed Ben Bella,"Chemistry, Mathematics, Computer science, Physics, Biology, Genetics, Biochemistry, Quantum mechanics, Gene, Amino acid, Genetic code, DNA, Programming language, Organic chemistry, Set (abstract data type), Code (set theory), Geometry, Philosophy, Combinatorics, Engineering, Group (periodic table), Mathematical physics, Discrete mathematics, Hydrogen atom, Alkyl"
A5067824517,Paweł Błażej,https://orcid.org/0000-0003-3610-2765,53,349,0.625,12,12,University of Wrocław,"Biology, Genetics, Biochemistry, Chemistry, Gene, Computer science, Mathematics, Amino acid, Computational biology, DNA, Genetic code, Programming language, Statistics, Genome, Algorithm, Sociology, Artificial intelligence, Machine learning, Set (abstract data type), Social science, Coding (social sciences), Mutation, Code (set theory), Theoretical computer science"
A5075135655,André R.O. Cavalcanti,,53,1056,4.75,18,26,Pomona College,"Biology, Genetics, Biochemistry, Chemistry, Gene, Genome, Computational biology, DNA, Amino acid, Ecology, Evolutionary biology, Geology, Cell biology, Paleontology, Genetic code, Computer science, RNA, Medicine, Physics"
A5067627186,David H. Ardell,https://orcid.org/0000-0001-7313-0963,51,3521,0.5,20,30,"University of California, Merced","Biology, Genetics, Biochemistry, Chemistry, Gene, Computer science, RNA, Computational biology, Medicine, Transfer RNA, Evolutionary biology, Geology, Paleontology, Genome, DNA, Artificial intelligence, Mathematics, Physics, Genetic code, Philosophy, Programming language, Amino acid"
A5011298979,Elena Fimmel,https://orcid.org/0000-0003-0402-431X,42,388,0.4,12,15,Mannheim University of Applied Sciences,"Computer science, Mathematics, Biology, Genetics, Chemistry, Biochemistry, Gene, DNA, Genetic code, Amino acid, Philosophy, Programming language, Statistics, Combinatorics, Physics, Discrete mathematics, Set (abstract data type), Code (set theory), Algorithm, Sociology, Theoretical computer science, Epistemology, Social science, Coding (social sciences)"
A5018390821,Miguel A. Jiménez-Montaño,,41,832,0,13,15,University of Puerto Rico System,"Computer science, Mathematics, Biology, Algorithm, Statistics, Chemistry, Biochemistry, Genetics, Programming language, Combinatorics, Philosophy, Artificial intelligence, Physics, Engineering, Linguistics, Amino acid, Psychology, Quantum mechanics, Gene, Sociology, Theoretical computer science, History, Archaeology, Geography, Genetic code"
A5090998063,Jan C Biro,,39,277,0,10,10,Karolinska Institutet,"Chemistry, Genetics, Biochemistry, Biology, Gene, Amino acid, DNA, Computational biology, Nucleic acid, Genetic code, Physics, Computer science, Nuclear magnetic resonance, Cell biology, Engineering, Structural engineering, Mechanical engineering, Codon usage bias, Electrical engineering, Genome, Protein folding, Folding (DSP implementation), RNA, Messenger RNA"
A5044736587,A. Figureau,,37,735,0,12,15,Institut de Physique,"Physics, Chemistry, Quantum mechanics, Computer science, Particle physics, Mathematics, Nuclear physics, Biology, Biochemistry, Atomic physics, Programming language, Pion, Genetics, Gene, Quantum electrodynamics, Amino acid, DNA, Genetic code, Computational biology, Optics, Nucleon, Set (abstract data type), Materials science, Code (set theory), Engineering"
A5088542074,Takahito Mukai,https://orcid.org/0000-0001-8618-598X,37,1334,2.5,18,22,Yale University,"Biology, Genetics, Biochemistry, Chemistry, Gene, Amino acid, Physics, Nuclear magnetic resonance, RNA, Transfer RNA, Organic chemistry, DNA, Enzyme, Escherichia coli, Genetic code, Genome, Molecular biology, Cysteine, Stop codon, Computational biology, Selenocysteine, Medicine, Internal medicine"
A5023526116,Dail W. Mullins,,35,527,0,9,8,University of Alabama at Birmingham,"Biology, Biochemistry, Chemistry, Genetics, Physics, Gene, Amino acid, Nuclear magnetic resonance, Organic chemistry, DNA, Stereochemistry, Quantum mechanics, Enzyme, Computer science, Genetic code, Nucleotide"
A5074342461,Yane‐Shih Wang,https://orcid.org/0000-0003-2356-9577,35,1386,5,18,22,"Institute of Biological Chemistry, Academia Sinica","Biology, Chemistry, Biochemistry, Genetics, Gene, Organic chemistry, Amino acid, Physics, Nuclear magnetic resonance, Enzyme, RNA, Transfer RNA, Computational biology, DNA, Geology, Genetic code, Aminoacyl tRNA synthetase, Stereochemistry, Catalysis, Ecology, Cell biology"
A5060076105,Oscar Vargas-Rodriguez,https://orcid.org/0000-0002-2301-2800,34,572,6,15,17,Yale University,"Genetics, Biochemistry, Biology, Gene, Chemistry, RNA, Transfer RNA, Amino acid, Physics, DNA, Genetic code, Aminoacyl tRNA synthetase, Nuclear magnetic resonance, Organic chemistry, Computational biology, Enzyme, Amino Acyl-tRNA Synthetases, Protein biosynthesis, Medicine, Messenger RNA, Molecular biology, Translation (biology), Stop codon, Escherichia coli"
A5060372887,Joseph F. Speyer,,34,1921,0,21,27,University of Connecticut,"Biology, Biochemistry, Chemistry, Genetics, Gene, Molecular biology, DNA, Physics, Organic chemistry, Escherichia coli, Nuclear magnetic resonance, Enzyme, RNA, Polynucleotide, Amino acid, Computational biology, Genetic code, Medicine"
A5059969346,Shobha P Kruparani,https://orcid.org/0000-0002-8955-1647,32,356,4.5,10,10,Centre for Cellular and Molecular Biology,"Genetics, Biochemistry, Biology, Chemistry, Gene, RNA, Transfer RNA, Physics, Organic chemistry, Messenger RNA, Translation (biology), Nuclear magnetic resonance, Computational biology, Enzyme, Amino acid, DNA, DNA polymerase, Polymerase, Proofreading, Geology, Paleontology, Bacteria, Stereochemistry, Archaea, Genetic code"
A5086149558,Matthew D. Berg,https://orcid.org/0000-0002-7924-9241,32,309,0.923076923,10,10,University of Washington,"Biology, Genetics, Biochemistry, Gene, Chemistry, RNA, Transfer RNA, Amino acid, DNA, Cell biology, Yeast, Saccharomyces cerevisiae, Genetic code, Medicine, Mutant, Molecular biology, Protein biosynthesis, Nuclear magnetic resonance, Physics, Gene expression, Organic chemistry, Enzyme, Alanine"
A5089317388,Renaud Geslain,,32,616,6,12,12,College of Charleston,"Biology, Genetics, Chemistry, Biochemistry, RNA, Gene, Transfer RNA, Computational biology, Messenger RNA, Translation (biology), Amino acid, Medicine, Molecular biology, DNA, Genetic code, Internal medicine, Aminoacyl tRNA synthetase, Protein biosynthesis, Physics, Cell biology, Cancer, Gene expression"
A5065498157,Raphaël Loll-Krippleber,https://orcid.org/0000-0002-7845-178X,31,328,2,7,7,University of Toronto,"Biology, Chemistry, Genetics, Biochemistry, Gene, Cell biology, DNA, Yeast, Saccharomyces cerevisiae, RNA, Physics, Mutant, Nuclear magnetic resonance, Amino acid, Medicine, Organic chemistry, Enzyme, Messenger RNA, Molecular biology, Allele, Translation (biology), Transfer RNA, Mutation, Genetic code, Ribosome"
A5019018365,C. Basilio,,30,1097,0,12,13,Central University of the Caribbean,"Biology, Chemistry, Genetics, Biochemistry, Gene, Organic chemistry, Physics, Nuclear magnetic resonance, Medicine, Enzyme, Amino acid, Internal medicine, Polynucleotide, Molecular biology, Endocrinology, Computer science, Computational biology, DNA, Genetic code"
A5062287329,Jeffery M. Tharp,https://orcid.org/0000-0002-2362-3249,30,839,6.166666667,14,15,Indiana University – Purdue University Indianapolis,"Genetics, Biochemistry, Biology, Chemistry, Gene, Amino acid, RNA, Transfer RNA, Computational biology, Physics, Nuclear magnetic resonance, Aminoacyl tRNA synthetase, Organic chemistry, DNA, Peptide, Molecular biology, Enzyme, Amino Acyl-tRNA Synthetases, Genetic code"
A5031064464,Qinglei Gan,,29,748,2.666666667,14,17,University of Arkansas at Fayetteville,"Genetics, Biochemistry, Biology, Chemistry, Gene, Amino acid, Organic chemistry, Physics, Nuclear magnetic resonance, Enzyme, Acetylation, Escherichia coli, Genetic code, DNA, Lysine, Computational biology, Cell biology, RNA, Medicine, Transfer RNA, Internal medicine, Endocrinology"
A5040428156,Ana Crnković,https://orcid.org/0000-0002-0581-1887,29,356,5.857142857,11,13,Yale University,"Biology, Genetics, Biochemistry, Chemistry, Gene, RNA, Transfer RNA, Amino acid, Computational biology, Aminoacyl tRNA synthetase, Nuclear magnetic resonance, Messenger RNA, Physics, Organic chemistry, Protein biosynthesis, Geology, Translation (biology), Molecular biology, Enzyme, DNA, Genetic code, Ribosome, Paleontology, Bacteria, Archaea"
A5057526724,Birthe Meineke,https://orcid.org/0000-0002-8912-0783,29,446,4.333333333,12,13,Science for Life Laboratory,"Genetics, Biology, Chemistry, Biochemistry, Gene, RNA, Organic chemistry, DNA, Transfer RNA, Physics, Amino acid, Nuclear magnetic resonance, Enzyme, Computational biology, Genetic code, Molecular biology, Combinatorial chemistry, Click chemistry, Cell biology, Polymer chemistry, Materials science, Bioorthogonal chemistry, Stop codon, Medicine, Nuclease"
A5076952211,C Portelli,,29,16,0,3,0,University of Bucharest,"Chemistry, Physics, Biology, Quantum mechanics, Genetics, Biochemistry, Organic chemistry, Gene, Molecule, Engineering, Computer science, Medicine, DNA, Amino acid, Cell biology, Electrical engineering, Ion, Atomic physics, Materials science, Genetic code, Mathematics, Excitation, Programming language"
A5010745506,Michael Georg Hoesl,,28,624,0,13,15,Ametek (Germany),"Biology, Chemistry, Biochemistry, Genetics, Amino acid, Gene, Physics, Organic chemistry, Computational biology, Nuclear magnetic resonance, Enzyme, DNA, Genetic code, Combinatorial chemistry, Bioinformatics, Quantum mechanics, Materials science, Protein engineering, Catalysis, Synthetic biology, Escherichia coli, Tryptophan"
A5075867220,Isah Aisah,,28,28,1,3,1,Padjadjaran University,"Biology, Mathematics, Physics, Philosophy, Art, Chemistry, Humanities, Genetics, Combinatorics, Computer science, Biochemistry, Gene, DNA, Genetic code, Business, Economics, Amino acid"
A5027930397,Margaret A. Schmitt,,27,1514,1.333333333,16,20,University of Colorado Denver,"Biochemistry, Biology, Chemistry, Genetics, Nuclear magnetic resonance, Physics, Gene, Organic chemistry, Amino acid, Peptide, Engineering, Computational biology, Electrical engineering, Geology, Paleontology, Medicine, RNA, Stereochemistry, Transfer RNA, DNA, Codon usage bias, Genome, Crystallography, Genetic code, Messenger RNA"
A5030570703,Małgorzata Wnętrzak,,27,245,0.4,8,8,University of Wrocław,"Computer science, Biology, Genetics, Biochemistry, Gene, Chemistry, Amino acid, Genetic code, DNA, Computational biology, Programming language, Mathematics, Set (abstract data type), Code (set theory), Algorithm, Genome, Machine learning, Artificial intelligence, Mutation, Theoretical computer science, Codon usage bias, Statistics, Sociology, Social science, Robustness (evolution)"
A5044100554,Juan R. Bobadilla,,27,358,0,10,10,Universidad Nacional Autónoma de México,"Biology, Genetics, Medicine, Chemistry, Biochemistry, Pathology, Gene, Physics, Internal medicine, Immunology, Mathematics, DNA, Computer science, Gastroenterology, Geometry, Genetic code, Organic chemistry, Amino acid, Zoology, Virology"
A5048611626,N.Ž. Mišić,https://orcid.org/0000-0002-8177-5734,27,41,1,4,1,Alexandra Institute (Denmark),"Computer science, Programming language, Set (abstract data type), Code (set theory), Biology, Mathematics, Chemistry, Genetics, Biochemistry, Gene, Genetic code, Discrete mathematics, Physics, Mathematical analysis, Amino acid, DNA, Combinatorics, Artificial intelligence, Pure mathematics"
A5078424323,Ann M. Findley,,27,933,0,10,10,University of Louisiana at Monroe,"Biology, Chemistry, Genetics, Biochemistry, Gene, Computer science, Medicine, Mathematics, Physics, Geology, Paleontology, Sociology, DNA, Genetic code, Political science, Computational biology, History, Statistics, Engineering, Organic chemistry, Amino acid"
A5080351437,Eberto R. Morgado,,27,196,0,8,7,Central University of Las Villas,"Mathematics, Chemistry, Genetics, Biology, Biochemistry, Gene, Combinatorics, Computer science, DNA, Genetic code, Discrete mathematics, Amino acid, Pure mathematics, Programming language, Physics, Set (abstract data type), Quantum mechanics, Code (set theory), Geometry, Algorithm, Philosophy"
A5002137780,Kazuaki Amikura,https://orcid.org/0000-0001-9813-9462,26,304,4.142857143,8,7,Yale University,"Biology, Genetics, Biochemistry, Chemistry, Gene, RNA, Computational biology, Transfer RNA, Amino acid, DNA, Genetic code, Physics, Computer science, Nuclear magnetic resonance, Cell biology, Protein biosynthesis, Molecular biology, Organic chemistry, Enzyme, In vitro, Messenger RNA, Translation (biology)"
A5063626598,Yoshiki Andachi,,26,1090,0.333333333,14,15,Research Organization of Information and Systems,"Genetics, Biochemistry, Biology, Gene, Chemistry, RNA, Transfer RNA, Amino acid, DNA, Genetic code, Genome, Messenger RNA, Geology, Paleontology, Cell biology, Bacteria, Caenorhabditis elegans, Psychology"
A5072280541,Sebastian Sachse,,26,39,2,3,1,Universidade de São Paulo,"Mathematics, Physics, Quantum mechanics, Chemistry, Biology, Mathematical physics, Computer science, Algebra over a field, Pure mathematics, Genetics, Biochemistry, Gene, Genetic code, Particle physics, Amino acid, DNA, Theoretical physics, Supersymmetry, Geology"
A5036274261,Georges Cullmann,,25,38,0,3,1,N/A,"Computer science, Mathematics, Biology, Chemistry, Genetic code, Genetics, Biochemistry, Gene, Statistics, Philosophy, Amino acid, DNA, Programming language, Algorithm"
A5059044840,Eden Ozer,https://orcid.org/0000-0002-6976-2746,23,442,7.25,10,10,Ben-Gurion University of the Negev,"Biology, Genetics, Biochemistry, Chemistry, Gene, Medicine, Internal medicine, Computational biology, Amino acid, Physics, Genetic code, DNA, Organic chemistry, Nuclear magnetic resonance, Pathology, Enzyme, Infectious disease (medical specialty), Disease, Coronavirus disease 2019 (COVID-19), Protein biosynthesis, Computer science, Outbreak, Geology, Paleontology, Molecular biology"
A5068580438,Gabriel S. Zamudio,https://orcid.org/0000-0003-4486-9843,23,141,3.8,8,8,Universidad Nacional Autónoma de México,"Genetics, Biochemistry, Biology, Chemistry, Gene, Amino acid, Computer science, DNA, Genetic code, RNA, Transfer RNA, Philosophy, Mathematics, Computational biology, Medicine, Physics, Programming language, Internal medicine, Set (abstract data type), Code (set theory), Bioinformatics, Evolutionary biology, Sociology"
A5048290223,Noah M. Reynolds,,22,945,0,13,16,Yale University,"Biology, Chemistry, Genetics, Biochemistry, Gene, RNA, Transfer RNA, Amino acid, Molecular biology, Aminoacyl tRNA synthetase, Messenger RNA, Translation (biology), DNA, Protein biosynthesis, Genetic code, Computational biology, Escherichia coli, Ribosome, Physics, Organic chemistry, Nuclear magnetic resonance, Cell biology, Enzyme"
A5054931911,James S. Italia,,21,514,2.25,11,12,Boston College,"Biology, Chemistry, Genetics, Biochemistry, Gene, Amino acid, Combinatorial chemistry, Organic chemistry, Materials science, Computational biology, RNA, Physics, Transfer RNA, Nanotechnology, Mutant, Aminoacyl tRNA synthetase, Genetic code, Bioconjugation, DNA, Mutagenesis, Nuclear magnetic resonance, Medicine, Internal medicine, Enzyme, Mutation"
A5061163968,Fernando Castro-Chávez,https://orcid.org/0000-0001-9661-5672,21,223,0,8,5,Baylor College of Medicine,"Biology, Genetics, Biochemistry, Chemistry, Medicine, Gene, Physics, Internal medicine, Endocrinology, DNA, Genetic code, Computer science, Membrane, Pathology, Amino acid, Cell biology"
A5081707668,Stefanie Mühlhausen,https://orcid.org/0000-0002-2979-8082,21,498,4.5,12,13,Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen,"Genetics, Biochemistry, Biology, Gene, Chemistry, Genome, Computational biology, Codon usage bias, Evolutionary biology, DNA, Genetic code, Amino acid, Computer science, RNA, Messenger RNA, Gene expression, Phylogenetics, Translation (biology), Phylogenetic tree, Base sequence"
A5005313006,Satya Brata Routh,,20,173,0,6,6,Centre for Cellular and Molecular Biology,"Biology, Chemistry, Biochemistry, Genetics, Physics, Gene, Computational biology, Amino acid, Nuclear magnetic resonance, Organic chemistry, Enzyme, DNA, DNA polymerase, Polymerase, Proofreading, RNA, Messenger RNA, Translation (biology), Transfer RNA, Computer science, Genetic code, Stereochemistry, Engineering, Glycine"
A5010565374,Wes Brown,https://orcid.org/0000-0001-7001-0448,20,364,1.5,8,8,University of Pittsburgh,"Chemistry, Biochemistry, Biology, Genetics, Gene, Cell biology, Zebrafish, Computational biology, Evolutionary biology, DNA, Function (biology), Embryo, Fishery, RNA, Organic chemistry, Amino acid, Genetic code, Guide RNA, CRISPR, Physics, Cas9, Genome, Genome editing"
A5018929547,Denis A. Semenov,,20,15,0,2,0,Institute of Bioorganic Chemistry,"Biology, Chemistry, Genetics, Biochemistry, Gene, DNA, Computer science, Programming language, Genetic code, Physics, Amino acid, Mathematics, Philosophy, Set (abstract data type), Code (set theory), Organic chemistry, Geometry, Linguistics, Medicine"
A5021316860,Dirson Jian Li,https://orcid.org/0000-0001-6096-0036,20,33,0,4,1,Xi'an Jiaotong University,"Biology, Chemistry, Genetics, Biochemistry, Evolutionary biology, Gene, Physics, Genome, DNA, Geology, Paleontology, Genetic code, Ecology, Amino acid, Phylogenetics, Optics, Phylogenetic tree, Quantum mechanics, Computational biology, Philosophy, Sociology, Bioinformatics, Medicine, Mechanism (biology), Environmental health"
A5048060114,Miryam Palacios-Pérez,https://orcid.org/0000-0003-1291-2093,20,95,3.25,6,4,"University of California, Berkeley","Biology, Chemistry, Biochemistry, Genetics, Medicine, Gene, Bioinformatics, Physics, Internal medicine, Pathology, Immunology, Disease, RNA, Amino acid, Computational biology, Organic chemistry, Gut flora, DNA, Genetic code, Nuclear magnetic resonance, Evolutionary biology, Environmental health, Geology, Genome, Microbiome"
A5078550235,Hans R. Aerni,,20,1269,27,14,14,Sanofi (United States),"Biology, Genetics, Biochemistry, Chemistry, Gene, Cell biology, Medicine, Internal medicine, Computational biology, Organic chemistry, Amino acid, RNA, Phosphorylation, Nuclear magnetic resonance, Bioinformatics, Physics, Cancer, Transfer RNA, Enzyme, Escherichia coli, DNA, Genetic code, Molecular biology"
A5018937724,Drew S. Tack,https://orcid.org/0000-0002-9380-4643,19,154,3.2,6,5,National Institute of Standards and Technology,"Biology, Genetics, Biochemistry, Chemistry, Computational biology, Gene, Evolutionary biology, Physics, Cell biology, Function (biology), Computer science, DNA, Engineering, Nuclear magnetic resonance, Mathematics, Medicine, Organic chemistry, Phenotype, Artificial intelligence, Enzyme, Amino acid, Genetic algorithm, Genetic code, Plasmid, Recombinant DNA"
A5031022482,Yvone M. M. Hornos,,19,304,0,6,4,Landauer (United States),"Chemistry, Physics, Computer science, Mathematics, Quantum mechanics, Geometry, Biology, Set (abstract data type), Organic chemistry, Nuclear physics, Programming language, Code (set theory), Molecule, Optics, Business, Computational chemistry, Algebraic number, Genetic code, Condensed matter physics, Genetics, Biochemistry, Gene, Mathematical analysis, Marketing, Materials science"
A5091577627,Lloyd Davis,,19,2237,2.25,10,10,University of Edinburgh,"Biology, Genetics, Biochemistry, Chemistry, Gene, Amino acid, Computational biology, DNA, Genetic code, Cell biology, Bioinformatics, RNA, Physics, Organic chemistry, Transfer RNA, Cell, Caenorhabditis elegans, Bioorthogonal chemistry, Psychology, Combinatorial chemistry, Computer science, Nuclear magnetic resonance, Click chemistry, Medicine, Polymer chemistry"
A5028763538,Laure Prat,,18,371,0,10,10,Yale University,"Biology, Chemistry, Genetics, Biochemistry, Gene, Physics, Organic chemistry, Nuclear magnetic resonance, Enzyme, RNA, Transfer RNA, Medicine, Internal medicine, Geology, Paleontology, Bacteria, Endocrinology, Amino acid, Escherichia coli, Cysteine, Ribosome, Elongation factor, DNA, Protein biosynthesis, Genetic code"
